year,state_abbr,state_name,population,violent_crime,property_crime,Violent_Crime_rate,Property_Crime_rate
1986,MT,Montana,819000,1289,35393,157.3870574,4321.489621
1986,NC,North Carolina,6331000,30128,244121,475.8805876,3855.962723
1986,ND,North Dakota,679000,348,17343,51.25184094,2554.197349
1986,NE,Nebraska,1598000,4196,57418,262.5782228,3593.116395
1986,NH,New Hampshire,1027000,1433,32767,139.5326193,3190.555015
1986,NJ,New Jersey,7620000,43623,355764,572.480315,4668.818898
1986,NM,New Mexico,1479000,10731,87266,725.5578093,5900.338066
1986,NV,Nevada,963000,6923,53647,718.8992731,5570.820353
1986,NY,New York,17772000,175210,849827,985.8766599,4781.83097
1986,OH,Ohio,10752000,45260,423387,420.9449405,3937.751116
1986,OK,Oklahoma,3305000,14423,184342,436.3993949,5577.670197
1986,OR,Oregon,2698000,14830,176207,549.6664196,6531.02298
1986,PA,Pennsylvania,11889000,42629,326149,358.5583312,2743.283708
1986,RI,Rhode Island,975000,3271,44528,335.4871795,4566.974359
1986,SC,South Carolina,3378000,22789,150752,674.6299586,4462.759029
1986,SD,South Dakota,708000,883,18346,124.7175141,2591.242938
1986,TN,Tennessee,4803000,25919,191861,539.6418905,3994.607537
1986,TX,Texas,16682000,109925,1125897,658.9437717,6749.172761
1986,UT,Utah,1665000,4441,86774,266.7267267,5211.651652
1986,VA,Virginia,5787000,17708,205658,305.9961984,3553.792984
1986,VT,Vermont,541000,807,20708,149.168207,3827.726433
1986,WA,Washington,4463000,19505,287535,437.0378669,6442.63948
1986,WI,Wisconsin,4785000,12339,183692,257.8683386,3838.913271
1986,WV,West Virginia,1919000,3156,41301,164.4606566,2152.214695
